date,wait
2018-11-16, 48
2018-11-17, 52
2018-11-18, 54
2018-11-19, 60
2018-11-20, 48
2018-11-21, 48
2018-11-22, 54
2018-11-23, 60
2018-11-24, 55
2018-11-25, 29
2018-11-26, 43
2018-11-27, 43
2018-11-28, 44
2018-11-29, 37
2018-11-30, 41
2018-12-01, 37
2018-12-02, 38
2018-12-03, 33
2018-12-04, 33
2018-12-05, 22
2018-12-06, 22
2018-12-07, 43
2018-12-08, 50
2018-12-09, 49
2018-12-10, 56
2018-12-11, 43
2018-12-12, 33
2018-12-13, 30
2018-12-14, 35
2018-12-15, 52
2018-12-16, 50
2018-12-17, 42
2018-12-18, 38
2018-12-19, 41
2018-12-20, 49
2018-12-21, 37
2018-12-22, 52
2018-12-23, 60
2018-12-24, 57
2018-12-25, 55
2018-12-26, 60
2018-12-27, 92
2018-12-28, 100
2018-12-29, 91
