year,month,day_of_month,day_of_week,hour_of_day,minute,dlr_open,dca_open,dlr_close,dca_close,weather_daily_temperatureHigh,weather_daily_temperatureLow,weather_daily_precipProbability,weather_hourly_temperature,weather_hourly_precipProbability,ride-0,wait-0,open-0,ride-1,wait-1,open-1,ride-2,wait-2,open-2,ride-3,wait-3,open-3,ride-4,wait-4,open-4,ride-5,wait-5,open-5,ride-6,wait-6,open-6,ride-7,wait-7,open-7,ride-8,wait-8,open-8,ride-9,wait-9,open-9
2019,5,10,5,8,52,8,8,0,21,69.15,56.96,0.33,60.27,0.0,353439,15,1,367492,5,1,353405,5,1,353295,5,1,353363,5,1,353355,25,1,353377,5,1,353435,15,1,353347,5,1,353437,5,1
2019,5,10,6,12,39,8,8,0,21,69.11,56.71,0.28,63.5,0.0,353439,25,1,367492,20,1,353405,15,1,353295,25,1,353363,5,1,353355,35,1,353377,25,1,353435,70,1,353347,25,1,353437,15,1
